Project,Stage,Datetime, Amount ,Valuation,Type project,Dead,WL,Token,Website,Chains,Description,Announcement,Category-Defillama,Main-Cate,Sub-Cate1,Sub-Cate2,Sub-Cate3,Total Sub-Cate
UXUY,Seed,4/9/2023,  3.200.000 ,,,,,,,,,https://www.globenewswire.com/news-release/2023/04/11/2644626/0/en/UXUY-raised-3-million-to-build-the-next-gen-MPC-based-decentralized-trading-platform.html,DeFi,DeFi,DEX,Trading,Computing,DEX;Trading;Computing
Nayms,Private Token Sale,4/10/2023,  12.000.000 ,,,,,,,,,https://www.prnewswire.com/news-releases/nayms-raises-at-80m-valuation-in-a-private-funding-round-led-by-udhc-301802104.html,CeFi,CeFi,Insurance,Marketplace,,Insurance;Marketplace
LayerAI,Series A,4/10/2023,  10.000.000 ,,,,,,,,,https://www.coindesk.com/business/2023/04/10/ai-focused-blockchain-cryptogpt-raises-10m-funding-at-250m-valuation/,Infrastructures,Infrastructures,AI,Zk Rollups,Layer-2,AI;Zk Rollups;Layer-2
Fire,Undisclosed,4/10/2023,  3.500.000 ,,,,,,,,,https://www.axios.com/pro/fintech-deals/2023/04/10/fire-crypto-fraud-prevention-startup-3-million,Infrastructures,Infrastructures,Security,,,Security
LABEFoundation,Strategic,4/10/2023,  1.000.000 ,,,,,,,,,https://medium.com/labelfoundation/label-foundation-secures-7-digit-investment-from-dwf-labs-to-build-the-future-of-decentralized-f430b6386a5a,NFT,NFT,Education,,,Education
Fingerlabs,Series A,4/10/2023,,,,,,,,,,https://www.prnewswire.com/news-releases/fingerlabs-completes-series-a-funding-rounds-from-major-blockchain-and-game-companies-301793128.html,NFT,NFT,Collectibles,,,Collectibles
SkateX (Block Tackle),Seed,3/22/2022,  5.000.000 ,,,Yes,,,,Solana,Solana-based video game with NFT skateboards,https://decrypt.co/95627/block-tackle-solana-nft-skateboarding-game-skatex-coinbase-animoca,Gaming,GameFi,Gaming,,,Gaming
Sei Labs,Undisclosed,4/11/2023,  30.000.000 ,,,,,,,,,https://techcrunch.com/2023/04/11/trading-focused-blockchain-sei-raises-30m-bringing-valuation-up-to-800m/,Infrastructures,Infrastructures,Layer-1,,,Layer-1
Third Time,Unknown,3/16/2022,  3.500.000 ,0,,Yes,,,,,Mobile/web horse-racing game,,,GameFi,Gaming,,,Gaming
RSS3,Private Token Sale,4/11/2023,  10.000.000 ,,,,,,,,,https://www.coindesk.com/business/2023/04/11/information-protocol-rss3-raises-10m-via-token-sale-to-dwf-labs/,Infrastructures,Infrastructures,AI,Data Service,Tooling,AI;Data Service;Tooling
Absolute Labs,Seed,4/11/2023,  8.000.000 ,,,,,,,,,https://absolutelabs.io/the-future-of-web3-crm-is-taking-a-giant-leap-forward/,Service,Service,Marketing,Management Software,,Marketing;Management Software
Brassica,Seed,4/11/2023,  8.000.000 ,,,,,,,,,https://www.finsmes.com/2023/04/brassica-technologies-raises-8m-in-seed-funding.html,Service,Service,Custody,,,Custody
Xclaim,Series A,4/11/2023,  7.000.000 ,,,,,,,,,https://fortune.com/crypto/2023/04/11/bankruptcy-marketplace-xclaim-raises-7-million-after-crypto-rebrand/,CeFi,CeFi,Marketplace,,,Marketplace
Pear Protocol,Seed,4/11/2023,  1.250.000 ,,,,,,,,,https://blockworks.co/news/pear-protocol-streamlined-pair-trading,DeFi,DeFi,Trading,,,Trading
Rebel Bots,Unknown,3/14/2022,  2.000.000 ,0,,Yes,,,,,The ultimate Play to Earn Game,,,GameFi,Gaming,,,Gaming
Ramper,Strategic,4/11/2023,,,,,,,,,,https://blog.coin98.com/coin98-ramper/,Infrastructures,Infrastructures,Tooling,,,Tooling
RE Solutions,Angel Round,1/1/2017,  1.500.000 ,,,,,,,,Blockchain Technologies for Real Estate,,,Web3,,,,
CALabs,Pre Seed,4/12/2023,  4.300.000 ,,,,,,,,,https://www.prnewswire.com/news-releases/former-doj-special-agent-raises-4-3-million-to-fight-crypto-crime-301794879.html,Infrastructures,Infrastructures,Security,Legal,,Security;Legal
Undead Blocks,Seed & Private,3/11/2022,  1.700.000 ,,,Yes,,,,Ethereum,Web3 play-to-earn game,https://twitter.com/UndeadBlocks/status/1502313255137595402?s=20,Gaming,GameFi,Gaming,,,Gaming
CryptoTechFin,Pre Seed,4/12/2023,  550.000 ,,,,,,,,,https://www.finextra.com/pressarticle/96419/cryptotechfin-closes-half-a-million-euros-investment-round,Service,Service,Asset Management,,,Asset Management
SOLA-X,Pre Seed,4/12/2023,,,,,,,,,,https://medium.com/@stabbleorg/yay-we-crushed-our-pre-seed-token-sale-time-to-rock-the-seed-sale-44514205e555,DeFi,DeFi,DEX,Liquidity Provision,,DEX;Liquidity Provision
EONetwork Foundation,Private Token Sale,4/13/2023,  45.000.000 ,,,,,,,,,https://twitter.com/BigBeardSamurai/status/1646513646091247616?s=20,Infrastructures,Infrastructures,Layer-1,,,Layer-1
EONetwork Foundation,Strategic,4/13/2023,  15.000.000 ,,,,,,,,,https://eosnetwork.com/blog/dwf-labs-partnership-with-enf/,Infrastructures,Infrastructures,Layer-1,,,Layer-1
Intmax,Seed,4/13/2023,  5.000.000 ,,,,,,,,,https://medium.com/@intmax/intmax-raises-5m-seed-round-to-build-a-stateless-zkrollup-c7dcf69b1b92,Infrastructures,Infrastructures,Zk Rollups,Wallet,,Zk Rollups;Wallet
Natix Network,Seed,4/13/2023,  3.500.000 ,,,,,,,,,https://tech.eu/2023/04/13/natix-raises-3-5-million-to-build-natix-network-a-blockchain-based-worldwide-crowdsourced-camera-network/,Infrastructures,Infrastructures,Mapping,AI,,Mapping;AI
Helio,Seed,4/13/2023,  3.300.000 ,,,,,,,,,https://www.globenewswire.com/news-release/2023/04/13/2646504/0/en/Helio-Raises-3-3-Million-to-Power-Web3-Payments-for-Merchants.html,Infrastructures,Infrastructures,Payment,,,Payment
CWallet,Undisclosed,4/13/2023,,,,,,,,,,https://fintech.global/2023/04/17/village-capital-names-the-32-fintechs-in-its-new-accelerator/,Infrastructures,Infrastructures,Wallet,,,Wallet
Derby Stars,Seed,3/4/2022,  6.000.000 ,,,No,Đã mint NFT,Yes,https://derbystars.com/#section1,Polygon,Horse Racing Game,https://twitter.com/DerbyStars_HQ/status/1499538888561655808,Gaming,GameFi,Gaming,,,Gaming
Ridian,Seed,4/13/2023,,,,,,,,,,https://www.prnewswire.com/apac/news-releases/after-an-investment-of-us-6-2-million-ridian-arrives-in-brazil-to-provide-intelligent-cryptocurrency-investment-services-301796052.html,Service,Service,Trading,,,Trading
Drip Capital,Seed,1/1/2017,  5.000.000 ,,,,,,,,Drip Capital offers trade financing product targeted towards SMEs in developing markets.,,,Web3,,,,
Pear Protocol,Public Token Sale,4/14/2023,  126.000 ,,,,,,,,,https://medium.com/@pear_protocol/introducing-the-pear-public-sale-45e4524df32e,DeFi,DeFi,Trading,,,Trading
Particle Network,Strategic,4/14/2023,,,,,,,,,,https://twitter.com/ParticleNtwrk/status/1646759249308008448,Infrastructures,Infrastructures,Tooling,,,Tooling
AiONE,Seed,4/15/2023,  1.000.000 ,,,,,,,,,https://u.today/aione-raises-1-million-in-seed-funding-to-streamline-ai-integration-in-businesses,Service,Service,Tooling,AI,Management Software,Tooling;AI;Management Software
Quantum Resistant Ledger,Angel Round,1/1/2017,  2.000.000 ,,,,,,,,The Quantum Resistant Ledger (QRL) is a first blockchain of its kind and a future-proof post quantum value store.,,,Web3,,,,
Pendle,Undisclosed,4/15/2023,,,,,,,,,,https://bixinventures.medium.com/why-we-invested-in-pendle-3e3bcbe3868e,DeFi,DeFi,DEX,Liquidity Provision,Yield,DEX;Liquidity Provision;Yield
P12,Strategic,10/27/2023,,,,No,No,No,https://x.com/_p12_,,,https://x.com/_p12_/status/1717792054208876891?s=20,Gamefi,GameFi,Gaming,,,Gaming
Wallet Guard,Pre Seed,4/16/2023,,,,,,,,,,https://twitter.com/wallet_guard/status/1647649415887470593,Infrastructures,Infrastructures,Security,,,Security
Tribo,Strategic,10/23/2023,,,,No,No,No,https://x.com/PlayTriboGames,,,https://medium.com/@Tribo_Games/tribo-games-secures-investment-and-partners-with-merit-circle-7be729eee174,Gamefi,GameFi,Gaming,Metaverse,,Gaming;Metaverse
Galactic Holdings,Pre Series A,4/17/2023,  10.000.000 ,,,,,,,,,https://www.accesswire.com/749577/LATAM-Crypto-Company-Galactic-Holdings-Raises-10-Million-in-Pre-A-Funding-Round,CeFi,CeFi,CEX,Trading,Payment,CEX;Trading;Payment
Fractal,Seed,4/17/2023,  6.000.000 ,,,,,,,,,https://www.theblock.co/post/226652/crypto-transparency-fractal-raises-6-million-to-reshape-market-structure-after-ftx-3ac,DeFi,DeFi,Trading,Identity,,Trading;Identity
Ancient 8,Seed,1/19/2022,  4.000.000 ,,,No,Đã mint NFT,Yes,https://ancient8.gg/,,Gaming Guild,https://twitter.com/Ancient8_gg/status/1483771235289137162,Gaming,GameFi,Gaming,,,Gaming
VycoLend,Seed,4/17/2023,  500.000 ,,,,,,,,,https://medium.com/@vycolend/yay-we-have-successfully-closed-a-0-5m-seed-round-fundraising-cc6cb4918ce0,DeFi,DeFi,Lending,,,Lending
Chekkit,Strategic,4/17/2023,,,,,,,,,,https://disrupt-africa.com/2023/04/17/nigerian-anti-counterfeiting-startup-chekkit-secures-funding-to-scale-blockchain-powered-solution/,Infrastructures,Infrastructures,Health,Identity,,Health;Identity
Pillz,Undisclosed,4/17/2023,,,,,,,,,,https://venturebeat.com/gaming-business/xsolla-invests-in-phygital-fashion-startup-pillz/,NFT,NFT,Metaverse,,,Metaverse
Unchained Capital,Series B,4/18/2023,  60.000.000 ,,,,,,,,,https://www.coindesk.com/business/2023/04/18/bitcoin-financial-services-firm-unchained-capital-raises-60m/,Service,Service,Custody,,,Custody
Rally,Series A,4/18/2023,  12.000.000 ,,,,,,,,,https://www.businesswire.com/news/home/20230418005079/en/Rally-Raises-12M-in-Series-A-Round-to-Fuel-the-Future-of-Ecommerce-with-its-Next-Generation-Checkout-Platform,Infrastructures,Infrastructures,Payment,,,Payment
Node40,Seed,4/18/2023,  4.000.000 ,,,,,,,,,https://www.node40.com/blog/node40-announces-funding-of-series-seed-round-by-card1ventures/,Service,Service,Data Service,,,Data Service
PublicVine,Seed,12/31/2016,  1.385.000 ,,,,,,,,Ledger Payments & Streaming Video,,,Web3,,,,
Universal Ledger,Undisclosed,4/19/2023,  10.000.000 ,,,,,,,,,https://www.finsmes.com/2023/04/universal-ledger-raises-10m-in-funding.html,Infrastructures,Infrastructures,Wallet,,,Wallet
Swaap Finance,Seed,4/19/2023,  4.500.000 ,,,,,,,,,https://twitter.com/SwaapFinance/status/1648597957585895426?s=20,DeFi,DeFi,DEX,Yield,,DEX;Yield
Yoz Labs,Undisclosed,4/19/2023,  3.500.000 ,,,,,,,,,https://www.coindesk.com/business/2023/04/19/web3-notification-platform-yoz-labs-raises-35m-to-simplify-on-chain-communication-between-developers-and-users/,Infrastructures,Infrastructures,Tooling,,,Tooling
Coinflow,Pre Seed,4/19/2023,  1.450.000 ,,,,,,,,,https://blog.coinflow.cash/,Infrastructures,Infrastructures,Payment,,,Payment
Trusted Node,Grant,4/19/2023,,,,,,,,,,https://forum.ssv.network/t/ssv-x-trusted-node-grant-proposal-staking-service/1033,Infrastructures,Infrastructures,Liquid Staking,Mining,,Liquid Staking;Mining
Berachain,Series A,4/20/2023,  42.000.000 ,,,,,,,,,https://twitter.com/berachain/status/1649050293080915968?s=20,Infrastructures,Infrastructures,Layer-1,,,Layer-1
XRSPACE,Undisclosed,4/20/2023,  25.000.000 ,,,,,,,,,https://www.nftgators.com/xrspace-raises-25m-to-develop-3d-live-experiences-in-the-metaverse/,NFT,NFT,NFT,Art,Metaverse,NFT;Art;Metaverse
P2Validator,Series A,4/20/2023,  23.000.000 ,,,,,,,,,https://decrypt.co/137353/ethereum-staking-provider-p2p-org-raises-23m-series-a,Service,Service,Mining,,,Mining
Fluree,Series A,4/20/2023,  10.000.000 ,,,,,,,,,https://www.yahoo.com/lifestyle/fluree-closes-10m-series-round-110000151.html?,Infrastructures,Infrastructures,Data Service,Storage,,Data Service;Storage
Apeiron,ICO,1/1/2022,  4.500.000 ,,,No,Đã mint NFT,Yes,https://apeironnft.com/,,Apeiron is a play and earn NFT game.,,Game,GameFi,Gaming,,,Gaming
Tableland,Series A,4/20/2023,  8.000.000 ,,,,,,,,,https://www.coindesk.com/business/2023/04/20/coinfund-leads-8m-round-for-decentralized-database-firm-tableland/,NFT,NFT,Data Service,,,Data Service
Accredify,Series A,4/20/2023,  7.000.000 ,,,,,,,,,https://techcrunch.com/2023/04/19/accredify/,Infrastructures,Infrastructures,Identity,,,Identity
CoreSky,Pre Seed,4/20/2023,  6.000.000 ,,,,,,,,,https://www.wicz.com/story/48759154/coresky-completes-6m-Pre Seed-funding-round-and-the-second-round-funding-may-reach-hundreds-of-millions,NFT,NFT,Launchpad,Trading,,Launchpad;Trading
Shield,Pre Seed,4/20/2023,  2.100.000 ,,,,,,,,,https://www.getshield.xyz/blockchain-security-cluster/shield-raises-2-million-round,Service,Service,AI,Security,,AI;Security
Outer Ring,Seed,12/31/2021,  6.000.000 ,,,,,,,,Outer Ring is a play-to-earn MMORPG video game in the science fiction and fantasy universe.,,Game,GameFi,Gaming,,,Gaming
FOTA-Fight Of The Ages,Series A,12/30/2021,  5.000.000 ,,,,,,,,FOTA-Fight Of The Ages is the play-2-earn blockchain-based project of Meta DJINN.,,Gaming,GameFi,Gaming,,,Gaming
Flow,Seed,4/21/2023,  3.000.000 ,,,,,,,,,https://thedefiant.io/flow-secures-3m-seed-funding-to-build-a-rollup-centric-nft-ecosystem,NFT,NFT,Aggregator,,,Aggregator
Sphere 3D,Strategic,4/21/2023,  3.000.000 ,,,,,,,,,https://finance.yahoo.com/news/sphere-3d-completes-private-placement-200500883.html,Infrastructures,Infrastructures,Mining,,,Mining
Playbux,Undisclosed,4/21/2023,  2.000.000 ,,,,,,,,,https://twitter.com/CryptoRank_VCs/status/1649339842734555136?s=20,Service,Service,NFT,Wallet,,NFT;Wallet
BetterData,Seed,4/21/2023,  1.650.000 ,,,,,,,,,https://www.techinasia.com/sg-firm-raises-165m-seed-privacypreserving-data-platform,Service,Service,AI,Synthetics,Data Service,AI;Synthetics;Data Service
StarSharks,Seed,12/24/2021,  4.800.000 ,,,,,,,BSC,"StarSharks is a NFT-GameFi ecosystem based on the BSC chain developed by game players, governance committees, and game developers.",,Game,GameFi,Gaming,,,Gaming
Giveth,Grant,4/21/2023,,,,,,,,,,https://ensgrants.xyz/rounds/25/proposals/516,Service,Service,Launchpad,,,Launchpad
ENRedirect,Grant,4/21/2023,,,,,,,,,,https://ensgrants.xyz/rounds/22/proposals/576,Service,Service,Tooling,,,Tooling
ENS.Guide,Grant,4/21/2023,,,,,,,,,,https://ensgrants.xyz/rounds/22/proposals/556,Service,Service,,,,
1W3,Grant,4/21/2023,,,,,,,,,,https://ensgrants.xyz/rounds/22/proposals/567,Service,Service,Tooling,,,Tooling
HypeSaints,Seed,4/21/2023,,,,,,,,,,https://twitter.com/HypeSaintsNFT/status/1649387758836670464,NFT,NFT,NFT,,,NFT
FWX,Undisclosed,4/21/2023,,,,,,,,,,https://fwx.finance/blog/fwx-secures-investment-from-blizzard-the-avalanche-fund-to-accelerate-platform-development,DeFi,DeFi,Derivatives,Lending,,Derivatives;Lending
Cynny,,12/29/2016,  1.578.000 ,,,,,,,,"Cynny develops MorphCast, a new adaptive video format that delivers face recognition in a smartphone without the need for an app or plugin.",,,Web3,,,,
VEGA,Seed,4/23/2023,  2.000.000 ,,,,,,,,,https://twitter.com/VegaIdol/status/1650026999019339778?s=20,Service,Service,Social Network,,,Social Network
Katmai,Series A,4/24/2023,  22.000.000 ,,,,,,,,,https://www.citybiz.co/article/407641/metaverse-firm-katmai-emerges-from-stealth-with-22-million-series-a-funding/,Service,Service,Social Network,,,Social Network
Thetanuts Finance,Undisclosed,4/24/2023,  17.000.000 ,,,,,,,,,https://thetanutsfinance.medium.com/thetanuts-finance-secures-institutional-funding-round-raised-17-million-24b9f66f73f5,DeFi,DeFi,Options,,,Options
Teahouse,Undisclosed,4/24/2023,  5.000.000 ,,,,,,,,,https://www.businesswire.com/news/home/20230417005765/en/Teahouse-Finance-Raises-5-Million-to-Further-DeFi-Wealth-Management,DeFi,DeFi,DEX,Derivatives,,DEX;Derivatives
Rise,Seed,4/24/2023,  3.800.000 ,,,,,,,,,https://twitter.com/rise_pay/status/1650530582802169856?s=20,Service,Service,Tooling,,,Tooling
Cosmic Guild,Seed,12/23/2021,  1.500.000 ,,,,,,,,Guild,https://twitter.com/Cosmic_Guild/status/1473857984207884288,Gaming,GameFi,Gaming,,,Gaming
Cowboy Snake,Seed,12/20/2021,  2.100.000 ,,,,,,,,Cowboy Snake is the TvT play-to-earn game inspired by snake on blockchain.,,Game,GameFi,Gaming,,,Gaming
Electron Labs,Undisclosed,4/24/2023,  500.000 ,,,,,,,,,https://medium.com/@gari.network/chingari-earn-electron-labs-positron-bridge-testnet-a79e82fa9e70,Infrastructures,Infrastructures,Cross-chain,Zk Proof,,Cross-chain;Zk Proof
Cosmose AI,Strategic,4/24/2023,,,,,,,,,,https://techcrunch.com/2023/04/24/near-cosmose-ai/,Service,Service,Social Network,Payment,,Social Network;Payment
TinyTap,Undisclosed,4/25/2023,  8.500.000 ,,,,,,,,,https://www.businessinsider.com/tinytap-sequoia-animoca-brands-funding-round-crypto-edtech-startup-exclusive-2023-4,Service,Service,Education,,,Education
Credora,Strategic,4/25/2023,  6.000.000 ,,,,,,,,,https://medium.com/credora/s-p-global-and-major-investors-back-credora-in-building-transparent-credit-markets-cc922b0d5e,DeFi,DeFi,Lending,,,Lending
DFlow,Undisclosed,4/25/2023,  5.500.000 ,,,,,,,,,https://www.coindesk.com/business/2023/04/25/defi-protocol-dflow-raises-55m-to-bring-purchase-order-flow-to-crypto/,DeFi,DeFi,DEX,,,DEX
Amboss,Seed,4/25/2023,  4.000.000 ,,,,,,,,,https://www.yahoo.com/lifestyle/amboss-technologies-raises-4m-led-220000034.html,Service,Service,Data Service,,,Data Service
MetaCRM,Seed,4/25/2023,  2.500.000 ,,,,,,,,,https://www.techinasia.com/blockchain-crm-provider-metacrm-raises-25m-seed-money?,Service,Service,Data Service,,,Data Service
Gingkoo,Post-IPO Equity,12/16/2016,  20.136.000 ,,,,,,,,"Gingkoo provides customized blockchain technology services for banks, insurance and securities companies & other financial institutions.",,,Web3,,,,
Acknoledger,Seed,12/20/2021,  1.480.000 ,,,,,,,,"A Global Consortium that maps, monetize, and distributes Web 3.0 Digital Assets Seamlessly across all the Metaverses and Gaming NFTs.",,Metaverse,GameFi,Gaming,,,Gaming
Certif-ID,Seed,4/25/2023,  1.760.000 ,,,,,,,,,https://certif-id.com/elementor-2578/,Service,Service,Identity,,,Identity
CWallet,Strategic,4/25/2023,  1.100.000 ,,,,,,,,,https://cvwallet.com/news/cv-wallet-raises-11-million-in-angel-investment/,Infrastructures,Infrastructures,Wallet,,,Wallet
Arpa,Strategic,4/25/2023,,,,,,,,,,https://arpa.medium.com/arpa-network-secures-investment-from-dwf-labs-to-fuel-growth-of-decentralized-computing-solutions-c80c9fd24cf6,Infrastructures,Infrastructures,Cross-chain,Custody,Security,Cross-chain;Custody;Security
Izumi Finance,Undisclosed,4/26/2023,  22.000.000 ,,,,,,,,,https://www.coindesk.com/business/2023/04/26/defi-protocol-izumi-finance-raises-22m/,DeFi,DeFi,Liquidity Provision,DEX,,Liquidity Provision;DEX
Omni Network,Undisclosed,4/26/2023,  18.000.000 ,,,,,,,,,https://tokeninsight.com/en/news/omni-network-closes-18-million-round-with-pantera-capital-involved,Infrastructures,Infrastructures,Optimistic Rollup,Zk Rollups,,Optimistic Rollup;Zk Rollups
Catalyst,Seed,4/26/2023,  4.200.000 ,,,,,,,,,https://twitter.com/CatalystAMM/status/1651254920119480327?s=20,DeFi,DeFi,DEX,Synthetics,,DEX;Synthetics
Tribe3,Undisclosed,4/26/2023,  2.100.000 ,,,,,,,,,https://www.globenewswire.com/news-release/2023/04/26/2654828/0/en/NFT-Futures-DEX-Tribe3-Secures-US-2-1-million-Funding-Public-Beta-Launch-on-3rd-May-2023.html,DeFi,DeFi,Derivatives,,,Derivatives
Native,Seed,4/26/2023,  2.000.000 ,,,,,,,,,https://medium.com/@native_labs/native-raises-2m-to-scale-its-project-owned-dex-infrastructure-8feedbed3ca1,DeFi,DeFi,DEX,,,DEX
SuiPad,Undisclosed,4/26/2023,  1.150.000 ,,,,,,,,,https://finance.yahoo.com/news/suipad-mystenlabs-official-launchpad-partner-201500809.html,Service,Service,Launchpad,,,Launchpad
Colecti,Pre Seed,4/26/2023,  519.000 ,,,,,,,,,https://decrypt.co/137647/colecti-has-received-a-470k-euro-equity-investment-from-lisk-to-build-a-thriving-ecosystem-for-nfts-on-the-lisk-blockchain,Service,Service,Launchpad,,,Launchpad
D3 Labs,Pre Seed,4/26/2023,,,,,,,,,,https://dinsights.katadata.co.id/read/2023/04/26/d3-labs-gears-up-for-an-expansion-in-mvp,Service,Service,,,,
MagicCraft,ICO,12/17/2021,  2.000.000 ,,,,,,,,MagicCraft is a massive multiplayer PvP battle league blockchain game.,,Gaming,GameFi,Gaming,,,Gaming
Ex Populus,,12/14/2021,  5.500.000 ,,,,,,,,Ex Populus is a Web3 video game publishing company,,Gaming,GameFi,Gaming,,,Gaming
Zodia Custody,Series A,4/27/2023,  36.000.000 ,,,,,,,,,https://www.coindesk.com/business/2023/04/27/crypto-storage-provider-zodia-custody-raises-36m-from-sbi-holdings-standard-chartered/,Infrastructures,Infrastructures,Custody,,,Custody
Giddy,Undisclosed,4/27/2023,  6.900.000 ,,,,,,,,,https://www.coindesk.com/business/2023/04/27/crypto-wallet-giddy-raises-new-69m-funding-to-further-self-custody-adoption/,Infrastructures,Infrastructures,Wallet,,,Wallet
CyBall,Seed,12/14/2021,  1.800.000 ,,,,,,,,"CyBall is a football-themed (US: soccer), NFT-based paly-to-earn game that allows users can collect, trade, mentor CyBlocs.",,Game,GameFi,Gaming,,,Gaming
